Sr. No.,Police Station,Year,Head,Date,Place_of_offence,Key_location,Week_no.,Geo_Location,Crowd_Density,Crime_Location_Type
180,Anjuna_Ps,2022,Assault (Hurt),11-11-2022,Amber Garden Siolim,Siolim,4,"(15.6295, 73.7792)",Medium,localArea
181,Anjuna_Ps,2022,Assault (Hurt),14-11-2022,Near Raeethi Night Club Vagator,Vagator,1,"(15.5942, 73.7454)",High,ClubArea
182,Anjuna_Ps,2022,Drug Related (NDPS),23-01-2022,Deulwado Chapora,Chapora,1,"(15.5911, 73.7660)",Medium,localArea
183,Anjuna_Ps,2022,Drug Related (NDPS),03-02-2022,Near Swami Samartha Temple Siolim,Siolim,1,"(15.6298, 73.7793)",Medium,localArea
184,Anjuna_Ps,2022,Drug Related (NDPS),03-02-2022,Near Candle Light Bar & Rest Wadi Siolim,Siolim,3,"(15.6300, 73.7794)",High,ClubArea
185,Anjuna_Ps,2022,Drug Related (NDPS),05-02-2022,Near Domino's Pizza Siolim,Siolim,5,"(15.6305, 73.7795)",High,MarketZone
186,Anjuna_Ps,2022,Drug Related (NDPS),07-04-2022,Zor Waddo Anjuna,Anjuna,2,"(15.5925, 73.7453)",Medium,localArea
187,Anjuna_Ps,2022,Drug Related (NDPS),18-04-2022,Rocky Garage Goanwadi Anjuna,Anjuna,3,"(15.5928, 73.7454)",Medium,MarketZone
188,Anjuna_Ps,2022,Drug Related (NDPS),29-05-2022,Near Vagator Football Ground,Vagator,4,"(15.5945, 73.7455)",High,localArea
189,Anjuna_Ps,2022,Drug Related (NDPS),12-08-2022,Parking Area Baga Arpora,Arpora,2,"(15.5565, 73.7525)",High,OnRoad
190,Anjuna_Ps,2022,Drug Related (NDPS),27-08-2022,Curlies Beach Shack Anjuna,Anjuna,4,"(15.5905, 73.7449)",High,Beachside
191,Anjuna_Ps,2022,Drug Related (NDPS),04-09-2022,159 Muddi Zor Anjuna,Anjuna,1,"(15.5929, 73.7456)",Medium,InHouse
192,Anjuna_Ps,2022,Drug Related (NDPS),04-09-2022,Near Gaya Hostel Piquen Peddem Anjuna,Anjuna,1,"(15.5931, 73.7457)",Medium,InHouse
193,Anjuna_Ps,2022,Drug Related (NDPS),04-09-2022,9 Bar Mirage Club Vagator,Vagator,1,"(15.5948, 73.7458)",High,ClubArea
194,Anjuna_Ps,2022,Drug Related (NDPS),05-09-2022,Near Ganapati Temple Assagao,Assagao,1,"(15.5914, 73.7661)",Medium,localArea
195,Anjuna_Ps,2022,Drug Related (NDPS),16-09-2022,Near Mango Tree Rest. Vagator,Vagator,3,"(15.5949, 73.7460)",High,ClubArea
196,Anjuna_Ps,2022,Drug Related (NDPS),25-09-2022,Jungle Hostel Anjuna,Anjuna,4,"(15.5933, 73.7459)",High,InHouse
197,Anjuna_Ps,2022,Drug Related (NDPS),11-11-2022,Near Electricity Dept Nagao,Nagoa,2,"(15.5926, 73.7662)",Medium,MarketZone
198,Anjuna_Ps,2022,Drug Related (NDPS),30-11-2022,Near Dibs on Blue Premium Hostel Anjuna,Anjuna,5,"(15.5934, 73.7461)",High,InHouse
199,Anjuna_Ps,2022,Drug Related (NDPS),04-12-2022,Near Cemetery Uddo Beach Siolim,Siolim,1,"(15.6310, 73.7796)",Medium,Beachside
200,Anjuna_Ps,2022,Drug Related (NDPS),24-12-2022,Nar Car Parking of Helipad Vagator,Vagator,4,"(15.5952, 73.7462)",High,OnRoad
201,Anjuna_Ps,2023,Theft (Auto Theft),10-01-2023,Near HDFC Bank Siolim,Siolim,3,"(15.6315, 73.7797)",High,MarketZone
202,Anjuna_Ps,2023,Theft (Auto Theft),04-02-2023,Fuldem Vaddo Nagoa,Nagoa,1,"(15.5930, 73.7663)",Medium,localArea
203,Anjuna_Ps,2023,Theft (Auto Theft),15-02-2023,Near House of Chapora,Chapora,3,"(15.5916, 73.7664)",Medium,localArea
204,Anjuna_Ps,2023,Theft (Auto Theft),20-04-2023,Porta Vaddo Siolim,Siolim,4,"(15.6320, 73.7798)",Medium,ResidentialArea
205,Anjuna_Ps,2023,Theft (Auto Theft),17-07-2023,Arpora,Arpora,4,"(15.5556, 73.7526)",Medium,ResidentialArea
206,Anjuna_Ps,2023,Theft (Auto Theft),26-10-2023,Near Ajoba Furniture Siolim,Siolim,5,"(15.6325, 73.7799)",Low,MarketZone
207,Anjuna_Ps,2023,Theft (House Theft),25-04-2023,Arpora,Arpora,5,"(15.5557, 73.7527)",Medium,ResidentialArea
208,Anjuna_Ps,2023,Theft (House Theft),13-10-2023,Baga Arpora,Arpora,3,"(15.5568, 73.7528)",High,Beachside
209,Anjuna_Ps,2023,Theft (House Theft),22-12-2023,Marinha Doradho Arpora,Arpora,4,"(15.5570, 73.7529)",Medium,ResidentialArea
210,Anjuna_Ps,2023,Theft (HBT Day),07-06-2023,At Room No.7 Goaround Cozy Homes Anjuna,Anjuna,2,"(15.5936, 73.7463)",Medium,InHouse
211,Anjuna_Ps,2023,Theft (HBT Day),21-10-2023,1084/A Madhlem Bhat Siolim,Siolim,4,"(15.6330, 73.7800)",Low,InHouse
212,Anjuna_Ps,2023,Theft (HBT Night),10-03-2023,Poonam Guest House Anjuna,Anjuna,2,"(15.5938, 73.7464)",High,InHouse
213,Anjuna_Ps,2023,Theft (HBT Night),17-06-2023,Siolim,Siolim,3,"(15.6335, 73.7801)",Medium,localArea
214,Anjuna_Ps,2023,Theft (HBT Night),21-07-2023,59 Bondir Wada Chapora,Chapora,4,"(15.5918, 73.7665)",Medium,InHouse
215,Anjuna_Ps,2023,Theft (HBT Night),03-10-2023,Room No.103 Yoyo Goa Retreat Hotel Vagator,Vagator,2,"(15.5955, 73.7465)",High,InHouse
216,Anjuna_Ps,2023,Theft (HBT Night),17-11-2023,1393 Kumar Wado Anjuna,Anjuna,3,"(15.5940, 73.7466)",Medium,InHouse
217,Anjuna_Ps,2023,Theft (HBT Night),18-11-2023,Restaurant Bawri Assagao,Assagao,3,"(15.5917, 73.7666)",High,ClubArea
218,Anjuna_Ps,2023,Assault (Hurt),22-02-2023,Guddem Siolim,Siolim,4,"(15.6340, 73.7802)",Medium,ResidentialArea
219,Anjuna_Ps,2023,Assault (Hurt),06-03-2023,Spazio Resort Anjuna,Anjuna,2,"(15.5943, 73.7467)",High,InHouse
220,Anjuna_Ps,2023,Assault (Hurt),18-03-2023,Green Square Society Bamon Vaddo Siolim,Siolim,3,"(15.6345, 73.7803)",Medium,ResidentialArea
221,Anjuna_Ps,2023,Assault (Hurt),11-04-2023,Muddi Vaddo Anjuna,Anjuna,3,"(15.5945, 73.7468)",Medium,localArea
222,Anjuna_Ps,2023,Assault (Hurt),11-04-2023,Muddi Waddo Anjuna,Anjuna,3,"(15.5873, 73.7436)",Medium,localArea
223,Anjuna_Ps,2023,Assault (Hurt),09-05-2023,Simwaddo Arpora,Arpora,2,"(15.5630, 73.7669)",Medium,localArea
224,Anjuna_Ps,2023,Assault (Hurt),13-05-2023,Aframent Waddi Siolim,Siolim,2,"(15.6150, 73.7700)",Low,localArea
225,Anjuna_Ps,2023,Assault (Hurt),18-05-2023,Near Olive Rest Vagator,Vagator,3,"(15.5920, 73.7410)",Medium,ClubArea
226,Anjuna_Ps,2023,Assault (Hurt),23-05-2023,Mdhlembhat Siolim,Siolim,4,"(15.6100, 73.7700)",Low,ResidentialArea
227,Anjuna_Ps,2023,Assault (Hurt),13-06-2023,Near Doo Robs Rest Vagator,Vagator,3,"(15.5925, 73.7405)",Medium,ClubArea
228,Anjuna_Ps,2023,Assault (Hurt),13-08-2023,Shree Dev Sakhleshawar Munag Vaddo Assagao,Assagao,3,"(15.5838, 73.7454)",Medium,ResidentialArea
229,Anjuna_Ps,2023,Assault (Hurt),06-10-2023,Hill Top Assagao,Assagao,2,"(15.5912, 73.7403)",High,ResidentialArea
230,Anjuna_Ps,2023,Assault (Hurt),29-10-2023,Oxel Siolim,Siolim,5,"(15.6123, 73.7705)",Low,localArea
231,Anjuna_Ps,2023,Assault (Hurt),29-10-2023,Oxel Siolim,Siolim,5,"(15.5943, 73.7401)",High,localArea
232,Anjuna_Ps,2023,Assault (Hurt),02-11-2023,Ozran Vagator,Vagator,1,"(15.5931, 73.7408)",High,Beachside
233,Anjuna_Ps,2023,Assault (Hurt),27-11-2023,239/4B Oxel Siolim,Siolim,5,"(15.6123, 73.7705)",Medium,InHouse
234,Anjuna_Ps,2023,Assault (Hurt),07-12-2023,Sorranto Waddo Anjuna,Anjuna,2,"(15.5867, 73.7432)",Medium,ResidentialArea
235,Anjuna_Ps,2023,Assault (Hurt),15-12-2023,Near Don Rob Club Vagator,Vagator,3,"(15.5931, 73.7408)",Medium,ClubArea
236,Anjuna_Ps,2023,Assault (Hurt),21-12-2023,Near Sam Home Stay Siolim,Siolim,4,"(15.6171, 73.7689)",Low,InHouse
237,Anjuna_Ps,2023,Assault (Hurt),30-12-2023,HNo.611/1 Vagator,Vagator,5,"(15.5902, 73.7398)",Medium,InHouse
238,Anjuna_Ps,2023,Drug Related (NDPS),31-01-2023,Siolim,Siolim,5,"(15.6123, 73.7705)",Low,localArea
239,Anjuna_Ps,2023,Drug Related (NDPS),08-02-2023,Onachem Bhat Anjuna,Anjuna,2,"(15.5890, 73.7425)",Medium,ResidentialArea
240,Anjuna_Ps,2023,Drug Related (NDPS),13-02-2023,Bamon Vaddo Siolim,Siolim,3,"(15.6135, 73.7699)",Low,ResidentialArea
241,Anjuna_Ps,2023,Drug Related (NDPS),19-02-2023,Vagator Beach,Vagator,4,"(15.5939, 73.7400)",High,Beachside
242,Anjuna_Ps,2023,Drug Related (NDPS),20-02-2023,Aorchid Aquarium Chaudi Marna Siolim,Siolim,4,"(15.6164, 73.7675)",Low,MarketZone
243,Anjuna_Ps,2023,Drug Related (NDPS),20-03-2023,Near Splesh Down Water Park Anjuna,Anjuna,4,"(15.5881, 73.7421)",High,ClubArea
244,Anjuna_Ps,2023,Drug Related (NDPS),01-04-2023,Bus Stop near St Joseph School Arpora,Arpora,1,"(15.5635, 73.7623)",High,OnRoad
245,Anjuna_Ps,2023,Drug Related (NDPS),04-05-2023,Near Cemetery Huddo Beach Siolim,Siolim,1,"(15.6190, 73.7655)",Low,Beachside
246,Anjuna_Ps,2023,Drug Related (NDPS),10-06-2023,Near Chapel Baga Arpora,Arpora,2,"(15.5621, 73.7632)",High,Beachside
247,Anjuna_Ps,2023,Drug Related (NDPS),29-07-2023,Baga End Baga Arpora,Arpora,5,"(15.5594, 73.7661)",High,Beachside
248,Anjuna_Ps,2023,Drug Related (NDPS),10-08-2023,Near Chapel Porta Vaddo Siolim,Siolim,2,"(15.6175, 73.7682)",Low,ResidentialArea
249,Anjuna_Ps,2023,Drug Related (NDPS),26-10-2023,T Junction Bammon Vaddo Siolim,Siolim,5,"(15.6142, 73.7691)",Low,OnRoad
250,Anjuna_Ps,2023,Drug Related (NDPS),15-11-2023,Near XOXO Bar & Rest Anjuna,Anjuna,3,"(15.5860, 73.7430)",Medium,ClubArea
251,Anjuna_Ps,2023,Drug Related (NDPS),25-11-2023,Near Cross Sonarwado Assagao,Assagao,4,"(15.5832, 73.7460)",Medium,ResidentialArea
252,Anjuna_Ps,2023,Drug Related (NDPS),19-12-2023,Near Fountain View Anjuna,Anjuna,3,"(15.5855, 73.7435)",Medium,Beachside
253,Anjuna_Ps,2023,Drug Related (NDPS),24-12-2023,Near Splashdown Water Park Anjuna,Anjuna,4,"(15.5881, 73.7421)",High,ClubArea
254,Anjuna_Ps,2024,Theft (Auto Theft),09-01-2024,Near Vegas Supermarket Arpora,Arpora,2,"(15.5645, 73.7629)",High,MarketZone
255,Anjuna_Ps,2024,Theft (Auto Theft),04-04-2024,630/1 Small Vagator,Vagator,1,"(15.5938, 73.7402)",Medium,Beachside
256,Anjuna_Ps,2024,Theft (Auto Theft),31-05-2024,Porta Vaddo Siolim,Siolim,5,"(15.6175, 73.7682)",Low,ResidentialArea
257,Anjuna_Ps,2024,Theft (Auto Theft),29-06-2024,Oxel Siolim,Siolim,5,"(15.6123, 73.7705)",Low,ResidentialArea
258,Anjuna_Ps,2024,Theft (Auto Theft),31-07-2024,Bammon Vaddo Siolim,Siolim,5,"(15.6142, 73.7691)",Low,ResidentialArea
259,Anjuna_Ps,2024,Theft (Auto Theft),20-08-2024,Morajkar Waddo Vagator,Vagator,3,"(15.5926, 73.7412)",Medium,Beachside
260,Anjuna_Ps,2024,Theft (House Theft),02-01-2024,Amada Villa Assagao,Assagao,1,"(15.5838, 73.7454)",Medium,InHouse
261,Anjuna_Ps,2024,Theft (House Theft),07-01-2024,Room No.14 of Anjuna Beach Resort Anjuna,Anjuna,1,"(15.5890, 73.7425)",Medium,InHouse
262,Anjuna_Ps,2024,Theft (House Theft),22-03-2024,Sesh Bar & Rest Anjuna,Anjuna,4,"(15.5865, 73.7430)",High,ClubArea
263,Anjuna_Ps,2024,Theft (House Theft),18-06-2024,Thomsuli Villa Marna Siolim,Siolim,3,"(15.6164, 73.7675)",Low,InHouse
264,Anjuna_Ps,2024,Theft (House Theft),14-08-2024,566 Badem Assagao,Assagao,2,"(15.5812, 73.7461)",Medium,ResidentialArea
265,Anjuna_Ps,2024,Theft (House Theft),17-08-2024,Origin Resort Arpora,Arpora,3,"(15.5632, 73.7621)",High,InHouse
266,Anjuna_Ps,2024,Theft (House Theft),03-09-2024,Ikigai Boutique Hotel Assagao,Assagao,1,"(15.5820, 73.7448)",Medium,InHouse
267,Anjuna_Ps,2024,Theft (House Theft),08-09-2024,671 Rai Siolim,Siolim,2,"(15.6170, 73.7678)",Low,ResidentialArea
268,Anjuna_Ps,2024,Theft (House Theft),21-09-2024,HDFC ATM Arpora,Arpora,3,"(15.5635, 73.7623)",High,MarketZone
269,Anjuna_Ps,2024,Theft (House Theft),01-11-2024,418 Sim Waddo Arpora,Arpora,1,"(15.5628, 73.7631)",Medium,ResidentialArea
270,Anjuna_Ps,2024,Theft (House Theft),05-11-2024,Samas Rest Vagator,Vagator,1,"(15.5934, 73.7404)",Medium,ClubArea
271,Anjuna_Ps,2024,Theft (House Theft),08-11-2024,Villa 05-EL Ricious Appt Assagao,Assagao,2,"(15.5834, 73.7450)",Medium,InHouse
272,Anjuna_Ps,2024,Theft (House Theft),07-12-2024,Umravi Villa Anjuna,Anjuna,1,"(15.5869, 73.7433)",Medium,InHouse
273,Anjuna_Ps,2024,Theft (HBT Day),31-01-2024,Tarchibhat Siolim,Siolim,5,"(15.6160, 73.7680)",Low,ResidentialArea
274,Anjuna_Ps,2024,Theft (HBT Day),23-11-2024,1818 Gaunwadi Anjuna,Anjuna,4,"(15.5875, 73.7438)",Medium,InHouse
275,Anjuna_Ps,2024,Theft (HBT Night),27-03-2024,A3 Cotempo Villas Marna Siolim,Siolim,4,"(15.6158, 73.7672)",Low,InHouse
276,Anjuna_Ps,2024,Theft (HBT Night),10-04-2024,287 Dabholwada Chapora,Chapora,2,"(15.6016, 73.7415)",High,InHouse
277,Anjuna_Ps,2024,Theft (HBT Night),20-06-2024,Villa No.B-1 Amariz Rest Vagator,Vagator,3,"(15.5930, 73.7406)",Medium,InHouse
278,Anjuna_Ps,2024,Theft (HBT Night),21-06-2024,YOYO Retreat Vagator,Vagator,3,"(15.5928, 73.7403)",Medium,InHouse
279,Anjuna_Ps,2024,Theft (HBT Night),29-06-2024,Hotel Amani Vagator,Vagator,5,"(15.5925, 73.7401)",Medium,InHouse
280,Anjuna_Ps,2024,Theft (HBT Night),04-08-2024,St. Joseph High School Arpora,Arpora,1,"(15.5630, 73.7625)",High,NearCollege
281,Anjuna_Ps,2024,Assault (Hurt),03-01-2024,Nagoa,Nagoa,1,"(15.5568, 73.7795)",Low,ResidentialArea
282,Anjuna_Ps,2024,Assault (Hurt),09-02-2024,Igrezwaddo Marna Siolim,Siolim,2,"(15.6169, 73.7670)",Low,ResidentialArea
283,Anjuna_Ps,2024,Assault (Hurt),13-03-2024,Sonarkhend Assagao,Assagao,2,"(15.5841, 73.7467)",Medium,ResidentialArea
284,Anjuna_Ps,2024,Assault (Hurt),26-03-2024,Near 6 Pack Rest Anjuna,Anjuna,4,"(15.5870, 73.7432)",Medium,ClubArea
285,Anjuna_Ps,2024,Assault (Hurt),07-04-2024,Near Domino's Shop Siolim,Siolim,2,"(15.6128, 73.7703)",Medium,MarketZone
286,Anjuna_Ps,2024,Assault (Hurt),11-04-2024,Guddem Siolim,Siolim,2,"(15.6165, 73.7683)",Low,InHouse
287,Anjuna_Ps,2024,Assault (Hurt),15-05-2024,Near Thalasa Rest Siolim,Siolim,3,"(15.6147, 73.7695)",High,ClubArea
288,Anjuna_Ps,2024,Assault (Hurt),17-05-2024,EL Patron Rest Wadi Siolim,Siolim,3,"(15.6139, 73.7690)",Medium,ClubArea
289,Anjuna_Ps,2024,Assault (Hurt),02-06-2024,254 Ghorbhat Vaddo Arpora,Arpora,1,"(15.5647, 73.7630)",Medium,InHouse
290,Anjuna_Ps,2024,Assault (Hurt),12-06-2024,373 Sonarkhend Assagao,Assagao,2,"(15.5843, 73.7465)",Medium,InHouse
291,Anjuna_Ps,2024,Assault (Hurt),07-07-2024,1069 Aim Vaddo Anjuna,Anjuna,1,"(15.5868, 73.7437)",Medium,ResidentialArea
292,Anjuna_Ps,2024,Assault (Hurt),10-07-2024,168/1 Sim Vaddo Arpora,Arpora,2,"(15.5629, 73.7628)",Medium,InHouse
293,Anjuna_Ps,2024,Assault (Hurt),30-07-2024,Near Joe Philip Height Residency Arpora,Arpora,5,"(15.5638, 73.7625)",Medium,ResidentialArea
294,Anjuna_Ps,2024,Assault (Hurt),20-08-2024,Rumba Club Assagao,Assagao,3,"(15.5835, 73.7458)",Medium,ClubArea
295,Anjuna_Ps,2024,Assault (Hurt),22-09-2024,Dando Siolim,Siolim,4,"(15.6152, 73.7679)",Low,LocalArea
296,Anjuna_Ps,2024,Assault (Hurt),01-10-2024,Thalassa Siolim,Siolim,1,"(15.6147, 73.7695)",High,ClubArea
297,Anjuna_Ps,2024,Assault (Hurt),06-12-2024,Near Baga Creek Baga Arpora,Arpora,1,"(15.5586, 73.7675)",High,Beachside
298,Anjuna_Ps,2024,Drug Related (NDPS),25-01-2024,Near Football Ground Siolim,Siolim,4,"(15.6173, 73.7676)",Medium,OnRoad
299,Anjuna_Ps,2024,Drug Related (NDPS),25-01-2024,Baga End Baga Arpora,Arpora,4,"(15.5594, 73.7661)",High,Beachside
300,Anjuna_Ps,2024,Drug Related (NDPS),30-01-2024,GTDC Parking Anjuna,Anjuna,5,"(15.5882, 73.7427)",High,OnRoad
301,Anjuna_Ps,2024,Drug Related (NDPS),01-02-2024,Near Baga Creek Baga Arpora,Arpora,1,"(15.5586, 73.7675)",High,Beachside
302,Anjuna_Ps,2024,Drug Related (NDPS),15-03-2024,La Viola Villas Zor Waddo Anjuna,Anjuna,3,"(15.5893, 73.7423)",Medium,InHouse
303,Anjuna_Ps,2024,Drug Related (NDPS),06-04-2024,Splashdown Water Park Anjuna,Anjuna,1,"(15.5881, 73.7421)",High,ClubArea
304,Anjuna_Ps,2024,Drug Related (NDPS),19-04-2024,Near Poonam Guest House Anjuna,Anjuna,3,"(15.5867, 73.7431)",Medium,InHouse
305,Anjuna_Ps,2024,Drug Related (NDPS),12-05-2024,Near Monkey Bar Gumal Vaddo Anjuna,Anjuna,2,"(15.5872, 73.7435)",Medium,ClubArea
306,Anjuna_Ps,2024,Drug Related (NDPS),08-06-2024,Near Chapel Sonarkhend Assagao,Assagao,2,"(15.5841, 73.7467)",Medium,LocalArea
307,Anjuna_Ps,2024,Drug Related (NDPS),08-07-2024,Near Bank of Baroda Anjuna,Anjuna,2,"(15.5863, 73.7436)",Medium,MarketZone
308,Anjuna_Ps,2024,Drug Related (NDPS),08-07-2024,Near XOXO Bar & Rest Anjuna,Anjuna,4,"(15.5860, 73.7430)",Medium,ClubArea
309,Anjuna_Ps,2024,Drug Related (NDPS),23-08-2024,Near Chapel Dias Vaddo Nagoa,Nagoa,4,"(15.5569, 73.7796)",Low,LocalArea
310,Anjuna_Ps,2024,Drug Related (NDPS),25-09-2024,Near St. Michael Church Anjuna,Anjuna,3,"(15.5865, 73.7442)",Medium,LocalArea
311,Anjuna_Ps,2024,Drug Related (NDPS),16-10-2024,Near Siolim Football Ground Siolim,Siolim,4,"(15.6173, 73.7676)",Medium,OnRoad
312,Anjuna_Ps,2024,Drug Related (NDPS),24-10-2024,Madhlem Bhat Siolim,Siolim,4,"(15.6162, 73.7674)",Low,LocalArea
313,Anjuna_Ps,2024,Drug Related (NDPS),25-10-2024,Near Village Panchayat Hall Vagator,Vagator,1,"(15.5929, 73.7405)",Medium,LocalArea
314,Anjuna_Ps,2024,Drug Related (NDPS),05-11-2024,Baga Creek,Baga,2,"(15.5586, 73.7675)",High,Beachside
315,Mapusa_Ps,2019,Theft (Auto Theft),12-07-2018,At Khorlim Mapusa Bardez Goa (MMC),Mapusa(MMC),1,"(15.5950, 73.8113)",High,MarketZone
316,Mapusa_Ps,2019,Theft (Auto Theft),01-08-2019,"At in front of Palmar Green Apartment, Abbaswado, Canca Bardez Goa (Canca Verla,Canca)",Canca Verla,3,"(15.5765, 73.7982)",Medium,LocalArea
317,Mapusa_Ps,2019,Theft (Auto Theft),20-12-2018,At opposite Pednekar Jeweller Municipal Market Mapusa Bardez Goa (MMC),Mapusa(MMC),3,"(15.5973, 73.8120)",High,MarketZone
318,Mapusa_Ps,2019,Theft (Auto Theft),20-01-2019,At in front of Braganza Hotel Mapusa Bardez Goa (MMC),Mapusa(MMC),3,"(15.5938, 73.8105)",High,MarketZone
319,Mapusa_Ps,2019,Theft (Auto Theft),15-02-2019,"At near municipal Fish Market, Mapusa Bardez Goa (MMC)",Mapusa(MMC),4,"(15.5956, 73.8118)",High,MarketZone
320,Mapusa_Ps,2019,Theft (Auto Theft),22-02-2019,At in front of Remy Photo Studio Mapusa Bardez Goa (MMC),Mapusa(MMC),1,"(15.5967, 73.8109)",High,MarketZone
321,Mapusa_Ps,2019,Theft (Auto Theft),02-02-2019,"At near Carvalho Petrol Pump, Mapusa Bardez Goa (MMC)",Mapusa(MMC),1,"(15.5971, 73.8103)",High,MarketZone
322,Mapusa_Ps,2019,Theft (Auto Theft),01-09-2019,At in front of Pednekar Jewellers Municipal Market Mapusa Bardez Goa (MMC),Mapusa(MMC),1,"(15.5973, 73.8120)",High,MarketZone
323,Mapusa_Ps,2019,Theft (Auto Theft),04-01-2019,"At in front of Ravalnath General Store, Freitas Wado, Verla,Canca Bardez Goa (Residential Area)","Verla,Canca",5,"(15.5762, 73.7980)",Medium,LocalArea
324,Mapusa_Ps,2019,Theft (Auto Theft),30-03-2019,At Voilowado Madel Thivim Bardez Goa (Thivim),Thivim,4,"(15.6271, 73.8294)",Low,LocalArea
325,Mapusa_Ps,2019,Theft (Auto Theft),26-10-2019,At Nr Mapusa Clinic Mapusa Bardez Goa (MMC),Mapusa(MMC),1,"(15.5943, 73.8117)",High,Beachside
326,Mapusa_Ps,2019,Theft (Auto Theft),03-02-2019,At Nr Ram Temple Teen Mad Sodiem Siolim Bardez Goa (Siolim),Siolim,4,"(15.6157, 73.7678)",Medium,ReligiousPlace
327,Mapusa_Ps,2019,Theft (Auto Theft),27-07-2019,At opposite Vijay Fashion Tailor Mapusa Bardez Goa (MMC),Mapusa(MMC),3,"(15.5965, 73.8109)",High,ParkingLot
328,Mapusa_Ps,2019,Theft (Auto Theft),20-07-2019,"At near Main entrance gate of premises of Glem Mark Pharmaceutical IDC, Colvale Bardez Goa (Industrial Area)",Colvale,4,"(15.6568, 73.8302)",Medium,Beachside
329,Mapusa_Ps,2019,Theft (Auto Theft),28-09-2019,"At in front of house of Vishwas Arlekar, Freitas Wado, Verla,Canca Canca Bardez Goa (Residential Area)","Verla,Canca",2,"(15.5762, 73.7980)",Low,ResidentialArea
330,Mapusa_Ps,2019,Theft (Auto Theft),10-03-2019,"At premises of ZLS building, Housing board Colony, Colvale Bardez Goa (Colvale)",Colvale,3,"(15.6581, 73.8321)",Medium,LocalArea
331,Mapusa_Ps,2019,Theft (Auto Theft),20-11-2019,"At Survemwado, Guirim Bardez Goa (Guirim)",Guirim,3,"(15.5742, 73.7934)",Low,ResidentialArea
332,Mapusa_Ps,2019,Theft (Auto Theft),17-12-2019,"At near Green Park Hotel Bus Stop, Guirim Mapusa Bardez Goa (MMC)",Mapusa(MMC),5,"(15.5739, 73.7927)",Medium,OnRoad
333,Mapusa_Ps,2019,Theft (Auto Theft),29-12-2019,"At Vanciowado, Guirim Bardez Goa (Guirim)",Guirim,1,"(15.5728, 73.7921)",Low,ResidentialArea
334,Mapusa_Ps,2019,Theft (Auto Theft),01-09-2018,At H No 73 Ponxem Damadem Madel Thivim Bardez Goa (Thivim),Thivim,1,"(15.6280, 73.8289)",Low,InHouse
335,Mapusa_Ps,2019,Theft (House Theft),02-03-2018,At in Nursery Hut opposite Chapel Calangute Road after Bodgini Mapusa Bardez Goa (MMC),Mapusa(MMC),3,"(15.5951, 73.8122)",Medium,ResidentialArea
336,Mapusa_Ps,2019,Theft (House Theft),16-03-2019,At Nr Navtara Hotel Mapusa Bardez Goa (MMC),Mapusa(MMC),4,"(15.5947, 73.8119)",High,MarketZone
337,Mapusa_Ps,2019,Theft (House Theft),25-04-2019,At Shop styled as “Abhay Mobile & Electronics” shop No A-2/27 Nr Vegetable Municipal Market Mapusa Bardez Goa (MMC),Mapusa(MMC),4,"(15.5960, 73.8125)",High,MarketZone
338,Mapusa_Ps,2019,Theft (House Theft),24-05-2019,"At Mapusa Market, Mapusa Bardez Goa (MMC)",Mapusa(MMC),3,"(15.5973, 73.8120)",High,MarketZone
339,Mapusa_Ps,2019,Theft (House Theft),21-07-2019,"At shop styled as “Bharat Key Maker” shop No 101, Nr Carvalho Petrol Pump Mapusa Bardez Goa (MMC)",Mapusa(MMC),4,"(15.5971, 73.8103)",High,MarketZone
340,Mapusa_Ps,2019,Theft (House Theft),24-09-2019,"At premises of ATM Counter, GP Parshik Bank Kavlekar Tower, Xim Khorlim Mapusa Bardez Goa (MMC)",Mapusa(MMC),2,"(15.5954, 73.8111)",High,MarketZone
341,Mapusa_Ps,2019,Theft (House Theft),11-01-2019,"At ATM Counter HDFC Bank premises, Colvale Bardez Goa (Bank Area)",Colvale,5,"(15.6558, 73.8309)",Medium,MarketZone
342,Mapusa_Ps,2019,Theft (House Theft),31-12-2019,"At H No 202B, Xelpem Cuchelim Mapusa Bardez Goa (MMC)",Mapusa(MMC),1,"(15.5980, 73.8102)",Low,InHouse
343,Mapusa_Ps,2019,Theft (House Theft),06-03-2019,At Shree Sai Bhakti Mandir Sainagar Aldona Bardez Goa (Aldona),Aldona,1,"(15.6337, 73.8773)",Medium,ReligiousPlace
344,Mapusa_Ps,2019,Theft (House Theft),02-08-2019,At H No 98/B/6 St.Anthonywado Guirim Bardez Goa (Guirim),Guirim,2,"(15.5733, 73.7929)",Low,LocalArea
345,Mapusa_Ps,2019,Theft (Chain Snatching),14-02-2019,At Camarkhajan Mapusa Bardez Goa (MMC),Mapusa(MMC),1,"(15.5963, 73.8115)",Medium,InHouse
346,Mapusa_Ps,2019,Theft (Chain Snatching),03-06-2019,At Atafonde Moira Bardez Goa (Moira),Moira,3,"(15.6230, 73.8550)",Low,ResidentialArea
347,Mapusa_Ps,2019,Theft (HBT Night),20-03-2019,"At shop styled as “D.K. Wine Store” H.No 303-A, Verla,Canca Canca Bardez Goa (Wine Store)",Canca Verla,1,"(15.5760, 73.7981)",Medium,MarketZone
348,Mapusa_Ps,2019,Theft (HBT Night),06-10-2019,"At H No 124/2, Rodrigues House Gaunsawado Sodiem Siolim Bardez Goa (Siolim)",Siolim,1,"(15.6165, 73.7708)",Low,InHouse
